Id,description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
3796,"SGAN 906 Módulo E, ASA NORTE, BRASILIA",,kitnet,270000.0,27.0,1.0,,,venda,-15.7714414,-47.8940017
4830,"QNG 2, TAGUATINGA NORTE, TAGUATINGA",,casa,520000.0,249.0,4.0,,5.0,venda,-15.7999182,-48.0604817
1521,"Rua 4C Chacará 14, VICENTE PIRES, VICENTE PIRES",,apartamento,285000.0,98.0,2.0,,2.0,venda,-15.8174672,-48.02420619999999
13571,"Residencial Damha I Quadra A1, RESIDENCIAL E COMERCIAL DAMHA, CIDADE OCIDENTAL",,lote,120000.0,380.0,,,,venda,-15.7975154,-47.89188739999999
4541,"GRANJA DO TORTO, GRANJA DO TORTO, BRASILIA",,casa,780000.0,300.0,4.0,,3.0,venda,-15.7031688,-47.9122668
215,"CSA 03 Lote 07, TAGUATINGA SUL, TAGUATINGA",,apartamento,519999.0,102.0,3.0,,1.0,venda,-15.8253984,-48.0601724
14344,"Quadra 2 Conjunto 8, SETOR ESPECIAL, VILA ESTRUTURAL",,lote,450000.0,450.0,,,,venda,-15.7028769,-47.8748665
13140,"Alphaville Residencial 1 Quadra AC, ALPHAVILLE BRASILIA, ALPHAVILLE",,lote,400000.0,606.0,,,,venda,-15.7975154,-47.89188739999999
7564,"Chacará 63, NUCLEO RURAL HORTIGRANJEIRO, SANTA MARIA",,casa,990000.0,220.0,3.0,,4.0,venda,-16.0036853,-47.9871936
5624,"QR 2 Conjunto G, CANDANGOLANDIA, CANDANGOLANDIA",,casa,750000.0,180.0,3.0,,1.0,venda,-15.8522783,-47.9505649
4221,"QNN 26 Conjunto G, CEILANDIA SUL, CEILANDIA",,casa,698000.0,242.0,4.0,,3.0,venda,-15.8422512,-48.10481189999999
2488,"Rodovia BR 020, SOBRADINHO, SOBRADINHO",,apartamento,527870.0,59.0,2.0,,1.0,venda,-15.6467509,-47.7668773
8269,"Quadra 2 Conjunto D 6, SOBRADINHO, SOBRADINHO",,casa,345000.0,180.0,3.0,,2.0,venda,-15.7079472,-47.9133088
5894,"Chacará 45, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",,casa,940000.0,465.0,5.0,,2.0,venda,-15.8208328,-48.0312799
11323,"SHA Conjunto 5 Chacará 109, ARNIQUEIRA, AGUAS CLARAS",,casa,349000.0,85.0,2.0,,5.0,venda,-15.8592922,-48.0123796
2183,"SCLRN 705 Bloco A, ASA NORTE, BRASILIA",,apartamento,400000.0,75.0,2.0,,,venda,-15.772221,-47.8893185
10070,"Rua 2 Chacará 86, VICENTE PIRES, VICENTE PIRES",,casa,550000.0,374.0,2.0,,4.0,venda,-15.8052276,-48.0122807
5332,"Área de Chacará S, TAGUATINGA NORTE, TAGUATINGA",,casa,650000.0,150.0,3.0,,2.0,venda,-15.8083731,-48.0548115
14157,"Quadra 3 Conjunto C, JARDIM BOTANICO, BRASILIA",,lote,895000.0,886.0,,,,venda,-15.8822584,-47.8170354
3112,"QNC 12, TAGUATINGA NORTE, TAGUATINGA",,apartamento,140000.0,35.0,1.0,,,venda,-15.826751,-48.0662599
10257,"QN 30 Conjunto 5, RIACHO FUNDO II, RIACHO FUNDO",,casa,260000.0,112.0,2.0,,2.0,venda,-15.8980881,-48.0394661
3955,"Terceira Avenida Bloco 1995, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,casa,829000.0,189.0,4.0,,3.0,venda,-15.8783282,-47.978737
6970,"Quadra 306 Conjunto 3, SETOR RESIDENCIAL OESTE, SAO SEBASTIAO",,casa,200000.0,225.0,5.0,,1.0,venda,-15.902839,-47.7877819
13734,"Residencial Damha II Quadra M2, RESIDENCIAL E COMERCIAL DAMHA, CIDADE OCIDENTAL",,lote,158000.0,360.0,,,,venda,-15.7975154,-47.89188739999999
7169,"QR 415 Conjunto 9, SAMAMBAIA NORTE, SAMAMBAIA",,casa,330000.0,150.0,4.0,,3.0,venda,-15.8801521,-48.1142323
11209,"QC 11 Rua H, JARDINS MANGUEIRAL, BRASILIA",,casa,580000.0,107.0,3.0,,2.0,venda,-15.8970264,-47.8020238
